id,label,cLabelIdx,cCntryCode,cLCControlNumber,UpName
174,Vee-Jay,VEE-JAY,,,VEE-JAY
175,Pickwick/33,PICKWICK/33,,,PICKWICK/33
176,Chiaroscuro,CHIAROSCURO,,,CHIAROSCURO
177,Adelphi Records,ADELPHI RECORDS,,,ADELPHI RECORDS
178,Columbia Master Works,COLUMBIA MASTER WORKS,,,COLUMBIA MASTER WORKS
179,Corinthian,CORINTHIAN,,,CORINTHIAN
180,Parnassus,PARNASSUS,,,PARNASSUS
181,Jonzo Records,JONZO RECORDS,,,JONZO RECORDS
182,Justin Time Records,JUSTIN TIME RECORDS,,,JUSTIN TIME RECORDS
183,ABC-Impulse,ABC-IMPULSE,,,ABC-IMPULSE
184,Flying Dutchman,FLYING DUTCHMAN,,,FLYING DUTCHMAN
185,RCA Victor,RCA VICTOR,,,RCA VICTOR
186,Design Records,DESIGN RECORDS,,,DESIGN RECORDS
187,Sin-Drome,SIN-DROME,,,SIN-DROME
188,Camay,CAMAY,,,CAMAY
189,Tops,TOPS,,,TOPS
190,Coral,CORAL,,,CORAL
191,CTI,CTI,,,CTI
192,EMI America,EMI AMERICA,,,EMI AMERICA
193,Solid State,SOLID STATE,,,SOLID STATE
194,Jubilee,JUBILEE,,,JUBILEE
195,American London,AMERICAN LONDON,,,AMERICAN LONDON
196,Smithsonian Collection,SMITHSONIAN COLLECTION,,,SMITHSONIAN COLLECTION
197,Coronet,CORONET,,,CORONET
198,Audio Fidelity,AUDIO FIDELITY,,,AUDIO FIDELITY
199,Groove Merchant,GROOVE MERCHANT,,,GROOVE MERCHANT
200,Argo,ARGO,,,ARGO
201,Blue Sky,BLUE SKY,,,BLUE SKY
202,Pausa,PAUSA,,,PAUSA
203,Kapp,KAPP,,,KAPP
204,Halo,HALO,,,HALO
205,Legend,LEGEND,,,LEGEND
206,Circle,CIRCLE,,,CIRCLE
207,Jass,JASS,,,JASS
208,Everybody's,EVERYBODYS,,,EVERYBODY'S
209,Golden Era,GOLDEN ERA,,,GOLDEN ERA
210,Jasmine,JASMINE,,,JASMINE
211,32 Jazz,32 JAZZ,,,32 JAZZ
212,Blu-Disc,BLU-DISC,,,BLU-DISC
213,Magenta,MAGENTA,,,MAGENTA
214,Black Lion,BLACK LION,,,BLACK LION
215,Monmouth Evergreen,MONMOUTH EVERGREEN,,,MONMOUTH EVERGREEN
216,Dot,DOT,,,DOT
217,GNP Crescendo,GNP CRESCENDO,,,GNP CRESCENDO
218,Classic Jazz Masters,CLASSIC JAZZ MASTERS,,,CLASSIC JAZZ MASTERS
219,Take Two Records,TAKE TWO RECORDS,,,TAKE TWO RECORDS
220,United Artists,UNITED ARTISTS,,,UNITED ARTISTS
221,Malpaso,MALPASO,,,MALPASO
222,Horizon,HORIZON,,,HORIZON
223,Jazzvakning,JAZZVAKNING,,,JAZZVAKNING
224,Fahrenheit,FAHRENHEIT,,,FAHRENHEIT
225,DCC,DCC,,,DCC
226,Halcyon,HALCYON,,,HALCYON
